Gruntfile.js: line 42, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
build/public/src/admin/appearance/themes.js: line 49, col 11, 'config' is not defined.
build/public/src/admin/appearance/themes.js: line 61, col 13, 'config' is not defined.
build/public/src/admin/appearance/themes.js: line 89, col 34, 'config' is not defined.
build/public/src/admin/appearance/themes.js: line 21, col 9, 'socket' is not defined.
build/public/src/admin/appearance/themes.js: line 54, col 11, 'socket' is not defined.
build/public/src/admin/appearance/themes.js: line 75, col 5, 'socket' is not defined.
build/public/src/admin/appearance/themes.js: line 85, col 9, 'app' is not defined.

build/public/src/admin/dashboard/logins.js: line 3, col 1, 'define' is not defined.
build/public/src/admin/dashboard/logins.js: line 9, col 16, 'ajaxify' is not defined.

build/public/src/admin/dashboard/searches.js: line 3, col 1, 'define' is not defined.
build/public/src/admin/dashboard/searches.js: line 7, col 5, '$' is not defined.
build/public/src/admin/dashboard/searches.js: line 10, col 11, 'socket' is not defined.
build/public/src/admin/dashboard/searches.js: line 14, col 13, 'ajaxify' is not defined.

build/public/src/admin/dashboard/topics.js: line 3, col 101, Line is too long.
build/public/src/admin/dashboard/topics.js: line 17, col 135, Line is too long.
build/public/src/admin/dashboard/topics.js: line 3, col 1, 'define' is not defined.
build/public/src/admin/dashboard/topics.js: line 9, col 16, 'ajaxify' is not defined.
build/public/src/admin/dashboard/topics.js: line 17, col 43, 'ajaxify' is not defined.
build/public/src/admin/dashboard/topics.js: line 20, col 35, 'ajaxify' is not defined.
build/public/src/admin/dashboard/topics.js: line 17, col 16, 'config' is not defined.
build/public/src/admin/dashboard/topics.js: line 20, col 13, 'app' is not defined.

build/public/src/admin/dashboard/users.js: line 17, col 135, Line is too long.
build/public/src/admin/dashboard/users.js: line 3, col 1, 'define' is not defined.
build/public/src/admin/dashboard/users.js: line 9, col 16, 'ajaxify' is not defined.
build/public/src/admin/dashboard/users.js: line 17, col 43, 'ajaxify' is not defined.
build/public/src/admin/dashboard/users.js: line 20, col 35, 'ajaxify' is not defined.
build/public/src/admin/dashboard/users.js: line 17, col 16, 'config' is not defined.
build/public/src/admin/dashboard/users.js: line 20, col 13, 'app' is not defined.

build/public/src/admin/dashboard.js: line 70, col 104, Line is too long.
build/public/src/admin/dashboard.js: line 98, col 101, Line is too long.
build/public/src/admin/dashboard.js: line 129, col 16, Expected '{' and instead saw 'r'.
build/public/src/admin/dashboard.js: line 130, col 19, Expected '{' and instead saw 'r'.
build/public/src/admin/dashboard.js: line 134, col 16, Expected '{' and instead saw 'b'.
